b1	b2	bw1	bw2	e1	e2	ew1	ew2	first1	first2	gid1	gid2	id1	id2	len1	len2	matches	s1	s2	score	seq1	seq2	tok1	tok2	uid1	uid2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
584	118	106	21	957	499	170	86	false	true	3997935449618325707	3127110245272101888	GVDB20200108-ara1.mARkdown.ms48	Kraken210622021802-ara1.inProgress.ms034	1703	1671	330	طالت المحنة بادم عليه السلام استرجع القول وناجي ربه وتوسل اليه بالقاءم -------------الذي سيظهر في وقته بالحقاءق وب------المقامات العالية في ذلك الزمان الذين هم الكلمات التامة- والايات الطاهرة- وانه لم يتعلم ذلك وانما اشتاق الي تلك المنزلة الجليلة والدرجة الرفيعة بغير انكار---- ولا استکبار عن الاقرار بفضل صاحبها فعند ذلك تاب الل-------ه عليه وزوجه ويسر لهما المعيشة وبعث اليهما ملكا من --ملاءكته فعلمها ما	طالت المحنة باد------------م استرجع القول وناجي ربه وتوسل اليه بالقاءم في ذلك الوقت الذي فيه ظهور ------الحقاءق وباصحاب المقامات العالية في ذلك الزمان الذين هم الكلمات التامات والايات الباهرات وانه لم يتعمد ذلك وانما اشتاق الي تلك المنزلة الجليلة والدرجة الرفيعة بغير انكار لها ولا استكبار عن الاقرار بفضل صاحبها فعند ذلك تاب الله سبحانه عليهما---- ويسر لهما ال-عيشة وبعت اليهما ملكا من الملاءكة- فعلمه--ما	556.0	48	34	300	300	-6379205385514291546	-7905261669583025007	272	407	81.0810775756836	45	GVDB20200108-ara1.mARkdown	Kraken210622021802-ara1.inProgress
1373	905	249	172	1685	1251	300	229	false	true	3997935449618325707	3127110245272101888	GVDB20200108-ara1.mARkdown.ms46	Kraken210622021802-ara1.inProgress.ms037	1685	1643	293	ابليس اللعين الروح-------------اني الذي تجري مجري الدم من ابن ادم -هو كما قلنا ----------------------منزلة النفس الغضيبة الشهوانية الحاءدة عن التقوي والمنعكفة علي شهوات الدنيا فانها ايضا في اوان دور الكشف تضعف قوتها وتقل شهوتها وتقهرها النفس الناطقة اذا ايدتها النفس الكلية بظهور النفس الزكية والافاضات العقلية وتلاشي الامور الطبيعية وخراب المحاسن	ابليس الروحاني واما ابليس الروحاني الذي يجري -جري الدم من ابن ادم فهو كما قلنا في رسالة الاخلاق انه بمنزلة النفس الغضبية الشهوانية الحاءدة عن التقوي -المعتكفة علي شهوات الدنيا فانها ايضا في اوان دور الكشف تضعف قوتها وتقل شهويها وتقهرها النفس الناطقة اذا ايدتها النفس الكلية بظهور النفس الزكية والافاضات العقلية وتلاثي الامور الطبيعية وخراب المحاسن	550.0	46	37	300	300	-5202103563516755327	-3383211873375922887	243	348	84.19540405273438	41	GVDB20200108-ara1.mARkdown	Kraken210622021802-ara1.inProgress
1	1251	0	229	395	1643	70	300	false	true	3997935449618325707	3127110245272101888	GVDB20200108-ara1.mARkdown.ms47	Kraken210622021802-ara1.inProgress.ms037	1656	1643	369	الدنيوية وحدوث امر الاخرة والنشاة الثانية والبعث الجديد والقيامة الكبري فلا تكون حينءذ نفس حيوانية وذلك ان الحيوان لا يكون في---- ذلك الزمان لان الفلك يتشكل بتشكله التام ولما كان الشكل التام صور----ة الانسان بالتمام وجب ان يكون في ذلك الزمان ظهور الاشياء كلها بالتمام ولما كانت صورة الحيوانات كلها ناقصة عن التمام وجب ا--لا يكون في ذلك الزمان شيءا عال النقص فلذلك وجب -البرهان في الظهور ان الحيوان الصامت	الدنيوية وحدوث امر الاخرة والنشاة الثانية والبعث الجديد والقيامة الكبري فلا يكون حينءذ نفس حيوانية فذلك ان الحيوان لا يكون في مثل ذلك الزمان لان الفلك يتشكل ب-شكله التام ولما كان الشكل التام وهو صورة الانسان بالتمام وجب ان يكون في ذلك الزمان ظهور الاشياء كلها بالتمام ولما كانت صور- الحيوانات كلها ناقصة عن التمام وجب ان لا يكون في ذلك الزمان شء بح-ال النقص فلذلك وجب بالب----------رهان ان الحيوان الصامت	699.5	47	37	300	300	5894433102848464576	-3383211873375922887	302	405	91.11111450195312	60	GVDB20200108-ara1.mARkdown	Kraken210622021802-ara1.inProgress
395	1	70	0	1656	1204	300	218	false	true	3997935449618325707	3127110245272101888	GVDB20200108-ara1.mARkdown.ms47	Kraken210622021802-ara1.inProgress.ms038	1656	1662	1100	المكبوب لا يكون في ----ذلك الزمان وانه يفني ويضمحل ويغيب حتي لا يري ويكون العالم كله في الصورة الانسانية التي هي احسن الصور وقد قال الله تعالي و لقد خلقنا الانسان في احسن تقویم و فعند ذلك يكون الانسان بنفسه الشريفة الروحانية اللطيفة ملكة مستغنية عن الحيوان الصامت وغير محتاج اليه وبالبرهان اذا استغ-ي الانسان عن الالة التي كان محتاجا اليها في وقت من الاوقات لا يبالي بفقدها ولا يتالم لزوالها وعدمها -اذا فلا بقاء للحيوان في يوم القيامة ولا وجود له بالنوع الذي هو عليه الان وانه برقی تدرج حت-------ي يلحق بالصورة الانسانية والتمام في منازله وعند بلوغ الاشياء الي تمامها وكونها علي افضل حالاتها واتم غ-اياتها فانه بالفضاءل تتخلي النفس عن الطبيعة دفعة واحدة وترجع الي التعلق بالعقل لا يشوبها كدر ولا يتعلق بها علق من الطبيعة ولا عاءقا يعوقها لتقبل منه الفيض الكلي والجود المحض فيكون عند ذلك لها من اللذات والنعمة والبهجة والسرور ما لا عين رات ولا اذن سمعت ولا خطرت علي قلب بشر فان- البرهان قد قام وقضية العقل----- قد شهدت بزوال --اشخاص الابالسة والشياطين من الجن والانس الذي يوحي بع-ضهم ا-لي بعض زخرف القول ژوراه فشياطين الجسم وشيطان النفس الخ-------الي من نور الحكمة الذي غلبت نفسه الغضبية علي نفسه الناطقة وت-------------------بعتها علي ارادتها ولذتها فصارت مثلها واقبلت تجذب اليها من اغتر بزخرفها وراقه منظرها الا تري الي قوله تعالي حكاية عن ابليس لما قال قب-عزتك لاغوينهم اجمعين الا عبادة منهم المخلصين عني بهم	المكبوب لا يكون في مثل ذلك الزمان وانه يف-ي ويضمحل ويبيد حتي لا يري ويكون العالم كله -----صورة الانسانية احم------------------------------------------------------------سن تقويم و--عند ذلك يكون الانسان بنفسه الشريفة الروحانية اللطيفة ملكا مستغنيا عن الحيوان الصامت وغير محتاج اليه وبالبرهان اذا استغني الانسان عن الالة ال-ي كان محتاجا اليها في وقت من الاوقات لا يباني بفقدها ولا يتالم بزوالها وعدمها فاذا -لا بقاء للحيوان في يوم القيامة ولا وجود له بالنوع الذي هو عليه الان وانه يترقي علي التدريج حي يلحق ب--صورة -----------التمام في منازله وعند بلوغ الاشياء الي تمامها وكونها علي افضل حالاتها واتم نهاياتها في ---الفضاءل تتخلي النفس عن الطبيعة دفعة واحدة وترجع الي التعلق بالعقل لا يشوبها كدر ولا يع-لق بها علق من الطبيعة ولا عايق- يعوقها فتقبل منه الفيض الكلي والجود المحض فيكون عند ذلك لها من اللذة- والنعمة والبهجة والسرور ما لا عين رات ولا اذن سمعت ولا خطر -علي قلب بشر فاذا البرهان قد قام وقضية العقل الحق قد شهدت بزوال الاشخاص الابالسة والشياطين من الجن والانس يت----وحي بعنضهمء الي بعض زخرف القول غرورا وشيطان- الجسم وشيطان النفس بالجسم الحالي من نور الحكمة الذي غلبت نفسه الغضبية علي نفسه الناطقة فجذبتها الي ذانها وتابعتها الي ارادت-------ها فصارت مثلها واقبلت تجذب اليها من اغير بزخرفها وراقه منظرها الا تري الي قوله------ حكاية عن ابليس لما قال فبيعزتك لاغويتهم -جمعين الا عبادك منهم المخلصين عني بهم	1979.5	47	38	300	300	5894433102848464576	4654325185585678822	893	1312	83.84146118164062	167	GVDB20200108-ara1.mARkdown	Kraken210622021802-ara1.inProgress
149	819	22	148	791	1417	139	254	false	true	3997935449618325707	3127110245272101888	GVDB20200108-ara1.mARkdown.ms46	Kraken210622021802-ara1.inProgress.ms042	1685	1699	499	الفوا الاعتقادات الفاسدة واعتادوا عادات السوء و--القول بان الشر من عند الله وقد ----خلقه وانه مريد له تنتزه الله عن ذلك و تعالي علوا كبيرة وقد دعاهم الكفر الي هذا التاويل واستشهدوا عليه باسوا دليل ولم يتفكروا ولم يتدبروا هذا القران الذي---- ضربت فيه الامثال الدالة علي المعاني الخفية والاسرار اللطيفة والعلوم الغامضة التي لا يعلمها الا الله والراسخون في العلم من تلك الشجرة الطيبة التي واضلها تابت في الارض وفرعها في السماء توتي اكلها كل حين باذن ربها ويضرب الله الامثال و كقوله تعالي و اجت م-----------------------ن فوق الارض ما-لها من قرار- وشجرة تخرج من طور سيناء تنبت بالدمن وصيغ الاكلين وشجرة تخرج في اضل الجحيم طلعها كانه رءوس الشياطين فانهم لاكون منها مالون م-------------نها البطون	الفوا الاعتقاد-- الفاسد- واعتادوا عادة- السوء من القول بان الشر من فعل الله سبحانه وخلقه وانه مريدل تن---زه الله عن ذلك وتع-الي علوا كبيرا---- دعاهم ذلك --الي هذا التاويل واستشهدوا عليه باسوا دليل ولم يتفكروا ولم يتدبروا هذا القران الذن فيه ضربت---- الامثال الدالة علي المعاني الخفية والاسرار ا-لطيفة والامور الغامضة ال-ي لا يعلمها الا الله والراسخون في العلم من ذلك الشجرة --طيبة التي -اصلها ثابيت-------- وفرعها في السماء تءتي اكلها كل حين باذن ربها ويضرب الله الامثال للناس لعلتهم يتذكرو والشجرة الحبيثة اجتشت مين فوق الارض ما لها من قراربه شجرة ت-------------------------------------------------خرج في اصل الجحيم طلعها كانه -ءوس الشياطين -انهم لاك----------لون منها فمالءون منها البطون	826.5	46	42	300	300	-5202103563516755327	-239529602330849008	407	690	72.31884002685547	66	GVDB20200108-ara1.mARkdown	Kraken210622021802-ara1.inProgress
880	401	149	75	1200	735	205	133	false	true	3997935449618325707	3127110245272101888	GVDB20200108-ara1.mARkdown.ms45	Kraken210622021802-ara1.inProgress.ms047	1732	1695	255	لما كشف- ما امره الله بستره وصيانته وحفظه من عدوه وقع بالخطيءة لانها----------------- الامانة المستورة التي لا تحملها السموات والارض و---ال-------------------------------جبال وتصدي الحملها الانسان انه كان ظلوما جهولا وقوله خلق الانسان من عجل سپري-م اياتي -لا تستعجلون ومع العجلة الندامة فتامل يا اخي -هذه المواضيع العجيبة التي-- تعب العلماء في استنباط معانيها واعلم ان من يشهد	لما كشفا ما امرا----- بستره وصيانته وحفظه و---------------------انها امانة مستورة وهي الامانة ا---------لتي لم تحملها السموات والارض ولا الجبال فابين ان يحميلنها واشفقن مينها و-------حملها الانسان انه كان ظلوما جهولا وقوله خلق الانسان من عجل ساريكم اياتي فلا تستعجلون ومن العجلة الندامة فتامل يا اخي لهذه المواضع -العجيبة الي قد تعب العلماء في استنباط معانيها واستخراج ما قيها	421.5	45	47	300	300	-4648108470467017803	-5900449032190590035	208	377	67.6392593383789	31	GVDB20200108-ara1.mARkdown	Kraken210622021802-ara1.inProgress
810	1306	143	232	1190	1665	215	300	false	true	3997935449618325707	3127110245272101888	GVDB20200108-ara1.mARkdown.ms46	Kraken210622021802-ara1.inProgress.ms054	1685	1665	333	السعداء -النجباء من اخوان الصفاءوخلان الوفاء واهل البصاءر من ذوي السراءر يقولون وربنا ما خلقت هذا باطلا شاء--ك فقنا عذاب النار وليسعد من نظر في ذلك واعتبر ونفعته الذكري ان بذکر ويستعد للرحلة من دار الفناء الي دار البقاء ويتذود من دار الدنيا الي دار الاخرة فان خير الزاد التقوی قبل فناء العمر وتقارب الاجل و فوات الامل وقبل ان تقول-- كما قالت الاشقياء يا ليتنا -رد --عمل غير ال-ذي كنا نعمل	السعداء والنجباء من اخوان الصفا وخلان الوفا- واهل البصاءر من ذوي السراءر --------ربنا ما خلقت هذا باطلا سبحانك فقنا عذاب النار وليسعد من نظر في ذلك ويعتبر فتنفعه الذكري--------------- للرحلة من دار الفناء الي دار البقاء ويتزود من دار الدنيا الي دار الاخرة فان خير الزاد التقوي قبل فناء العمر وق--رب الاجل وفوت-- الامل -قبل ان يقولوا كما قال- الاشقياء يا ليتنا نرد فنعمل غير التذي كنا نعمل	578.5	46	54	300	300	-5202103563516755327	-7293809199354630414	266	389	85.60411071777344	51	GVDB20200108-ara1.mARkdown	Kraken210622021802-ara1.inProgress
1	580	0	115	1051	1625	186	300	false	true	3997935449618325707	3127110245272101888	GVDB20200108-ara1.mARkdown.ms49	Kraken210622021802-ara1.inProgress.ms068	1658	1625	916	من اجاب دعوة الانبياء ------------والاءمة الهادين والخلفاء الراشدين صلوات الله عليهم الذين هم قيام في الارض مستحفظين للوداءع و--------هم توابيت الحكمة و--بيوت---- الله يرفعون اسم الل--------ه ومعهم تابوت السكينة الذي تحمله الملاءكة الموكلون -عفظه حتي يقوم مستحقه ويتوارثه الخلف عن السلف وانهم حلفاء الله في الارض وخزان علمه المحض فمن عرفهم واتبع سلفه-م واهتدی بهداهم فقد اخلص العبادة ونجي من الابالسة ومن الجن والانس الظاهرين بالعداوة والباطنين الذين معه في جسمه الذين يجرون منه مجري الدم فاذا نجا منهم وتخلص من شباكهم كان ملكا من الملاءكة بالقوة ما دام ال---جسد فاذا فارقت نفسه --جسده صار ملكة بالفعل ومن غفل عن دعوة الانبياء ولم يستجب اليهم واتبع شیاطین زمانه وفراعنة وقته واوانه وانهمك في شهوات نفسه الدنيءة الرزلة فاتته الفواءد العقلية وخرج من جملة الذرية الطاهرة وصار في حملة حزب -------الشياطين الجسمانيين بالقوة فاذا مات صار شیطانة------- روحانية غوية مغرية بالفعل رءيسة في ضلالته بغو ي من قدر عليه بالوسوسة كما قال الله تعالي شياطين الانس والجن يوحي بغشهم الي بعض -خرف القول غرورا ولا يزال هذا الامر كذلك فكل م----ن تهذبت نفسه وز کت اع-اله وحسنت افعاله صار ملكا وارتقي ف-ي الحالة الفاضلة الي دار الكرامة	من اجاب----- الانبياء ص والمرسلين والاءمة الهادين والخلفاء الراشدين ال-----------------ذين هم قيام في الامة -ستحفظين للوداءع النبوية فهم توابيت الحكمة في بيوت اذن الله ان ترفع ويذكر فيها اسمه ومعهم تابوت السكينة الذي تحمله -لملاءكة الموكلون بحقظه ح-ي يقوم مستحقه ويتوارثه الخلف عن السلف اية ا--------لله في ارضه و------علمه المحض فمن عرفهم واتبع سبيلهم واهتدي بهديهم فقد اخلص العبادة ونجا من الابالسة من- الجن والانس الظاهرين بالعداوة والباطتين الذين معه في جسمه الذين يجرون منه مجري الدم فاذا نجا منهم وتخلص من شباكهم كان ملكا من الملاءكة بالقوة ما دام مع الجسد فاذا فارقت نفسه الجسد- كان ملكا بالفعل ومن غفل عن دعوة الانبياء ولم يستجب اليهم و-تبع شياطين زمانه وفراعنة وقت-------ه وانهمك في شهوات نفسه الدنيءة الردلة فاتته الفواءد العقلية وخرج من جملة الذرية الطاهرة وصار في----- حزب ابليس والشياطين الجسمانيين بالقوة فاذا مات صار شيطانا بالفعل روحانيا غويا مغويا------- رءيسا في ضلالته يغوي- من قدر عليه بالوسوسة كما قال ----سبحانه شياطين الانس والجن يوحي بعضهم الي بعض زخرف القول غرورا ولا يزال هذا الامر كذلك وكل من كان تهذبت نفسه وز-كت اعماله وحسنت افعاله صار ملكا وارتقي الي الحالة الفاضلة الي دار الكرامة	1609.0	49	68	300	300	7375904254851689777	-3742500436827819937	746	1112	82.37409973144531	129	GVDB20200108-ara1.mARkdown	Kraken210622021802-ara1.inProgress
1051	1	186	0	1296	256	229	44	false	true	3997935449618325707	3127110245272101888	GVDB20200108-ara1.mARkdown.ms49	Kraken210622021802-ara1.inProgress.ms069	1658	1598	226	ومحل النعمة ومقام الرحمة وكل من اخلد الي الطبيعة وسكن اليها وانهمك في شهواتها--------- واستحل المحرمات وعدل عن افاضة الاشخاص-------- فهو عند الموت عاءد الي دار الهوان ومحل الاسقام والالام------ في عالم الكون و الفساد كلما تضجت ج-ودهم بدلناهم جلودا غيرها ليذوقوا العذاب	ومحل النع-------------مة وكل من اخلد الي الطبيعة وسكن اليها وانهمك في شهواتها الحسيسات واستحل المحرمات وعدل عن افادة الاشخاص العالية فهو عن- الموت عاءد الي دار الهوان ومحل الاسقام والالام ويبقي في عالم الكون و الفساد كلما نضجت جلودهم بدلناهم جلودا غيره لييذوقوا العذاب	409.0	49	69	300	300	7375904254851689777	-6006851534373224235	186	269	84.0148696899414	35	GVDB20200108-ara1.mARkdown	Kraken210622021802-ara1.inProgress
1414	710	250	128	1658	962	300	181	false	true	3997935449618325707	3127110245272101888	GVDB20200108-ara1.mARkdown.ms49	Kraken210622021802-ara1.inProgress.ms070	1658	1587	231	انسيا او جنية----- لم يات ادم الا في الصورة الانسانية ولذلك خدعه لانه كلمه وفهم عنه كذلك جاء في الخبر وكان منه ما كان وقضي-- عليه ما يقضيه علي المخلوقي---ن انه لا يبقي علي حالة الدوام شء مما دون ذلك القمر بالجملة ولا بد له من التغير والاستحالة وانما كان	انسيا او جنيا لكنه لم يات ادم الا في الصورة الانسانية وبذلك خدعه لانه كلمه ففهم عنه كذلك جاء في الحبر فكان منه ما كان ثم قضي عليه ما -قضي -علي المخلوقين من انه لا يبقي علي حالة الدوام شء مما دون فلك القمر بالجملة ولا بد له من التغير والاستحالة وانما كان	434.5	49	70	300	300	7375904254851689777	2957569492148232943	182	254	90.94488525390625	40	GVDB20200108-ara1.mARkdown	Kraken210622021802-ara1.inProgress
