b1	b2	bw1	bw2	e1	e2	ew1	ew2	first1	first2	gid1	gid2	id1	id2	len1	len2	matches	s1	s2	score	seq1	seq2	tok1	tok2	uid1	uid2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
473	101	78	17	808	437	129	67	false	true	3997935449618325707	1620306121390813756	GVDB20200108-ara1.mARkdown.ms66	Hindawi95926405Vols-ara1.mARkdown.ms0008	1780	1824	297	واعلم ان الغرض----- هو الاخبار عن حالة النفوس البسيطة قبلی تشخصها واتصالها بالاجسام الجزءية المحصورة ال-حدود بواس----------طة الالوان والاشكال والاعراض الاخرين والمكو--ث في الرحم هذه المدة لتتميم البنية وتكميل الصورة وهو الكمال الجسماني الاول لاستكمال الالة واعداد-- الاد-اة و-استواء- رباط النفس بالهيكل واتحادها بقواه وانبساطها في البنية و تمكنها من الجملة	و--------الغرض منها هو الاخبار عن حال- الانفس البسيطة قبل- تشخصها واتصالها بالاجسام الجزءية المحصورة المحدودة المحسوسة بوساطة الالوان والاشكال والاعراض الاخر-- وان المكث في الرحم هذه المدة لتتميم البنية وتكميل الصورة وهو الكمال--------- الاول لاستكمال الالة واعدادها الادوات ولاستتمام رباط النفس بالهيكل واتحادها بقواه وانبساطها في البنية و-تمكنها من الجملة	514.5	66	8	300	300	6943463542491913866	-6113438530293284727	251	358	82.96089172363281	34	GVDB20200108-ara1.mARkdown	Hindawi95926405Vols-ara1.mARkdown
328	926	57	156	1105	1551	193	259	false	true	3997935449618325707	1620306121390813756	GVDB20200108-ara1.mARkdown.ms01	Hindawi95926405Vols-ara1.mARkdown.ms0009	1651	1823	499	في بيان ماهية الموت والحياة وما --حكمة--- وجودهما في الدنيا التي هي عالم الكون والفساد وما حقيقة المعاد والغرض المقصود منها الكشف---- عن علة رباط الانفس الجزءية الناطقة بالاجسام-------- واتصالها بالاشخاص الجزءية الي وقت الموت وكيفية الثواب والاستعداد قبل الموت ثم الاستعجال قبل الفوت ما دام الخلاص -مكنا وسبب النجاة معروضة والاجساد موجودة والالات متمكنة وبذلك يكون الاشتهاء للموت--------------- وازالة الخوف والتجاني عنه كما قال الله عز وجل قل يا ايها الذين مادوا ان زعمتم انكم اولياء الله من دون الناس فتمنوا الموت ان كنتم صادقین وبتمني النفس---- الموت ودنوها منه وتسليمها جسدها اليه اذا حل بساحتها وترك استعمالها اياه و استراحتها من اذاه والمجا-----------------دها مناها وبلوغ-- منتهاها وانه لا سبيل لها الي البقاء السرمدي الذي ----------لا يزول ولا يتغير الا بعله مفارقة الجسد المستحيل الذي هو سبب الانتقال والزوال و التغيير من حال الي حال	في----- ماهية الموت والحياة وما الحكمة في وجوده-ا في الدنيا --------عالم الكون والفساد وما حقيقة المعاد والغرض-------- منها هو البيان عن علة رباط الانفس --------الناطقة بالاجساد البشرية واتصالها بالاشخاص الجزءية الي وقت الموت وكيفية التاهب والاستعداد قبل الفوت وال--استعجال---------- ما دام الخلاص ممكنا و----النجاة معر-ضة والاجسام موجودة والالة- متمكنة و----------الاستهانة بالموت والتجافي عنه وازالة الخوف منه ببقاء------------------------------------------------------------------------------------------------------------------------ النفس بعد الموت الذي هو مفارقتها الجسد----------------------- وترك استعمالها اياه و-استراحتها من اذاه ووصولها الي عالمها ووجودها مناها وبلوغها منتهاها وانه لا سبيل لها الي البقاء السرمدي الذي لا يتغير ولا يزول---------- الا بم----فارقة الجسد المستحيل الذي هو سبب الانتقال والزوال و-التغ-ير من حال الي حال	778.0	1	9	300	300	-1178309932592318117	2021620910442541881	412	843	59.193355560302734	61	GVDB20200108-ara1.mARkdown	Hindawi95926405Vols-ara1.mARkdown
5	1499	1	261	186	1682	38	300	false	true	3997935449618325707	1620306121390813756	GVDB20200108-ara1.mARkdown.ms05	Hindawi95926405Vols-ara1.mARkdown.ms0011	1568	1682	165	حي عالم طاءع لباريه خلقه ربه جلی ثناء---------ه تامة كاملا وجع--ل الخلاءق داخلون فيه باجمعهم فهو جملتهم وليس خارج العالم شء اخر لا خلاء ولا ملاء وليس العالم في مكان و كلما فيه في مكان موكل كل	حي عالم طاءع لباريه خلقه ربه جل- ثناءه يوم خلقه تاما كاملا وان كل الخلاءق داخلون فيه و--------هو جملتهم وليس خارج العالم شء اخر لا خلاء ولا ملاء وليس العالم في مكان وكل ما فيه في مكان موكل كل	295.0	5	11	300	300	8853679930489833968	6894142827016813363	130	192	85.9375	30	GVDB20200108-ara1.mARkdown	Hindawi95926405Vols-ara1.mARkdown
380	720	64	129	923	1215	156	212	false	true	3997935449618325707	1620306121390813756	GVDB20200108-ara1.mARkdown.ms34	Hindawi95926405Vols-ara1.mARkdown.ms0011	1734	1682	394	النفسانية والفيوضات الالهية لتصير الي عالم الجنان ومجاورة الرحمن ذو الجلال والاكرام------------------------ والغرض المطلوب من هذا الفصل والمقصود اليه هو ان الباري جل جلاله وتقدست اسماءه لما ابدع الموجودات في المبدع الاول وهو العقل -اخترع المخترعات بوساطته في النفس وجعلها مقدرة في الكاءنات مكونة- بحسب الامهات والمواليد ورتبها ونظمها كمراتب الاعداد عن الواحد الذي قبل الاثنين والاثنين الذي قبل الثلاثة وكذلك ما بعده وجعل لكل جنس منها حدا مخصوصا ونهاية معلومة متطابقة بعضها البعض فاعله ومنفعلة هیولی و صورة نوع و جنسة اذ -راي ذلك احكم واتقن واكمل واحسن واهدي اليها وابين	النفسانية---------- العقلية تشتمل علي عشر رساءل الرسالة الاولي منها في المبادء العقلية علي راي الفيثاغوريين والغرض منها--------------------------------- ان الباري جل جلال--------------ه لما ابدع الموجودات في المبدع الاول وهو العقل واخترع المخترعات بوساطته في النفس وخلقها مقدرة في ال--طباع وكونها بحسب الامهات والموال-د ورتبها ونظمها كمراتب الاعداد من الواحد الذي قبل الاثنين والاثنين قب-----ل الثلاثة وكذلك ما بعده وجعل لكل جنس منها حدا مخصوصا ونهاية معلومة م-طابقة بعضها -لبعض فاعلة ومنفعلة هيولي و-صورة نوعا وجنسا اذا راي ذلك احكم واتقن واكمل------ واهدي اليه- وابين	656.5	34	11	300	300	-7718837002185386389	6894142827016813363	322	570	69.12281036376953	49	GVDB20200108-ara1.mARkdown	Hindawi95926405Vols-ara1.mARkdown
886	1053	143	187	1457	1685	239	294	false	true	3997935449618325707	1620306121390813756	GVDB20200108-ara1.mARkdown.ms66	Hindawi95926405Vols-ara1.mARkdown.ms0620	1780	1714	541	كان الشهر الرابع من مسقط النطفة -صار التدبير للشمس واستولت علي المضغة قوی روحانياتها ونفخ ف-يها روح الحياة وسرت فيها النفس الحيوانية وذلك لان الشمس--- رءيس- الكواكب في الفلك ونفسها هي روح العالم باسره وهي المستولية علي الكاءنات التي دون فلك العمر وبالخاصة علي موالي-----------------------------------------د الانسان وذلك ان جرمها في العالم مت-زلة جرم القلب في البدن وساءر اجرام الكواكب والافلاك من-زلة اعضاء البدن ومفاصل الجسد وسريان قوی روحانياتها في العالم کسريان الحرارة الغريزية المنبثة من القلب السارية في جميع اعضاء البدن واما ساءر قوی روحانيات الكواكب فهي لها كالجنود والاعوان وللخدم وكل ذلك ب-------------------------تقدير العزيز العليم	دخل الشهر الرابع من مسقط النطفة وصار التدبير للشمس واستولت علي المضغة قوي روحانياتها -نفخت فيها روح الحياة وسرت فيها النفس الحيوانية وذلك لان الشمس هي رءيسة الكواكب في الفلك ونفسها هي روح العالم باسره وهي المستولية علي الكاءنات التي دون فلك القمر و---خاصة علي مواليد الحيوانات ذوي الرحم واشد اختصاصا بمواليد الانس و--ذلك ان جرمها في العالم بمنزلة جرم القلب في البدن وساءر اجرام الكواكب والافلاك بمنزلة اعضاء البدن ومفاصل الجسد وسريان قوي روحانياتها في العالم كسريان الحرارة الغريز-ة المنبثة من القلب السارية في----- اعضاء البدن واما ساءر قوي روحانيات الكواكب فهي لها كالجنود والاعوان والخدم -كل ذلك باذن الباري جل ثناءه وذلك تقدير العزيز العليم	1011.5	66	620	300	299	6943463542491913866	-1034663251547498885	448	645	83.87596893310547	76	GVDB20200108-ara1.mARkdown	Hindawi95926405Vols-ara1.mARkdown
1463	13	240	3	1747	295	293	56	false	true	3997935449618325707	1620306121390813756	GVDB20200108-ara1.mARkdown.ms66	Hindawi95926405Vols-ara1.mARkdown.ms0621	1780	1662	245	انها -مسيرها في حدود الكواكب والب--روج ولشدة اشراق نورها وسريان قوی روحانياتها تحط من الفلك الي عالم الكون والفساد الذي تحت فلك العمر من توی روحانيات الكواكب والافلاك والبروج في کلی يوم واحد وساعة واحدة وفي كل------------ درجة ودقيقة الوانة من التدب---------ير غير ما في يوم اخر وساعة اخري لا ي----فهم البشر كنه	انها بمسيرها في حدود الكواكب في البروج و-شدة اشراق نورها وسريان قوي روحانياتها تحط من الفلك الي عالم الكون والفساد الذي تحت فلك القمر من قوي روحانيات الكواكب والافلاك والبروج -----------------------------في كل يوم ساعة في درجة ودقيقة الوانا من التدبير والتاثير غير ما في يوم اخر وساعة اخري لا يبلغ فهم البشر كنه	447.0	66	621	300	299	6943463542491913866	5384727586951829872	198	312	78.52564239501953	38	GVDB20200108-ara1.mARkdown	Hindawi95926405Vols-ara1.mARkdown
901	944	172	173	1192	1219	220	218	false	true	3997935449618325707	1620306121390813756	GVDB20200108-ara1.mARkdown.ms70	Hindawi95926405Vols-ara1.mARkdown.ms0621	1607	1662	245	الله وايانا بروح منه انه اذا كان الشهر الخامس من مسقط للنطفة وسارت الشمس الي البرج الخامس المسمي بيت الولد الموافقة طبيعته للبرج الذي كانت فيه يوم مسقط النطفة وصار التدبير الزهرة ---------------صاحبة النقش والتص-وير واستولت علي الخ-لقة قوی روحانياتها استتمت الخلقة واستكملت البنية والنشوء وظهرت صورة الاعضاء	اعلم يا اخي ب--------انه اذا دخل الشهر الخامس--------------- وسارت الشمس الي البرج الخامس المسمي بيت الولد الموافق- طبيعته للبرج الذي كان- فيه يوم مسقط النطفة وصار التدبير للزهرة الساعد الاصغر وصاحبة النقش والتصاوير واستولي علي المخلقة قوي روحانياتها استتمت الخلقة واستكملت البنية-------- وظهرت صورة الاعضاء	419.0	70	621	300	299	8079684821323520098	5384727586951829872	203	308	79.54545593261719	28	GVDB20200108-ara1.mARkdown	Hindawi95926405Vols-ara1.mARkdown
1577	379	270	67	1774	574	300	96	false	true	3997935449618325707	1620306121390813756	GVDB20200108-ara1.mARkdown.ms36	Hindawi95926405Vols-ara1.mARkdown.ms0650	1774	1647	187	کالاثنين والنفس كالثلاثة والهيولي الاولي كالاربعة والطبيعة -الخمسة والجسم كالستة والفلك كالسبعة والاركان كالثمانية والمتولدات كالتسعة و---وجه اخر في ان نسبة النفس من العقل كنسبة ضوء القمر من نور الشمس	كالاثنين والنفس كالثلاثة والهيولي الاولي كالاربعة والطبيعة كالخمسة والجسم كالستة والفلك كالسبعة والاركان كالثمانية والمولودات كالتسعة ومن وجه اخر------ نسبة النفس من العقل كنسبة ضوء القمر من نور الشمس	351.5	36	650	300	299	-8858782964437253641	248834797006152718	159	201	93.03482818603516	24	GVDB20200108-ara1.mARkdown	Hindawi95926405Vols-ara1.mARkdown
18	580	3	97	828	1401	158	250	false	true	3997935449618325707	1620306121390813756	GVDB20200108-ara1.mARkdown.ms37	Hindawi95926405Vols-ara1.mARkdown.ms0650	1578	1647	444	الاساس من الناطق كنسبة---- العقل من الباري -------------اذا امتلا نوره حاکی -------------نورها وتاويل ذلك ان نوره فاض علي الكواكب وكذلك النفس اذا قبلت الفيض العقلي و استتمت فضاءلها كانت افعالها كال-----عقل وانما تستتم فضاءلها اذا هي اعتبر-----------------------------------------------------------ت احوال عالمها التي هي الصورة الانسانية لان الله عز وجل- خلق الانسان في احسن تقويم ثم صوره في احسن صورة وجعل صورته مر-ة لنفسه ليتبين- فيها صورة العالم الكبير وما هو مكتوب في اللوح المبين واعلم ايها الا ان الله عز وجل لما اراد ان يطلع النفس الانسانية علي خزاءن علوم ما كتب في لوحه ويشهدها العالم كله باسره فكان ملکه---- واسعة و كرسيه محيطة بالخلق وان النفس الجزءية لا تحيط بواسع ما خلقه وتعجز عن قراءة ما كتبه و----------------------------------------------------------------------ان الجزءي لا محيط بالكلي الا بقدر ما في وسعه وطاقته فاقتصد لها عالمة صغيرة خلقه محكمته واتقنه بصنعته وصور فيه------------- جميع ما في العالم الكبير واشهد----------------ها اياه قوله تعالي ع------------لي انفسهم الست بربکم قالوا-------- بلي فمن عرف منهم	ال-عقل من الباري كنسبة نور الشمس من الشمس وكما ان القمر اذا امتلا من نور الشمس حاكي نوره نورها ------------------------------------كذلك النفس اذا قبلت --فيض العقل ف--استتمت فضاءلها حاكت افعالها افعال العقل وانما تستتم فضاءلها اذا هي عرفت ذاتها وحقيقة جوهرها وانما تستبين لها فضاءل جوهرها اذ هي عرفت احوال عالمها الذي هو --صورة الانسانية لان البارء تعالي خلق الانسان في احسن تقويم و--صوره اكمل ص---ورة وجعل صورته مراة لنفسه ليتراءي فيها صورة العالم الكبير وذلك ان الباري جل جلاله----------------------------------- لما اراد ان يطلع النفس الانسانية علي خزاءن علوم--------------ه ويشهدها العالم---- باسره علم ان العالم ------------------------------------------------------واسع --------------------------كبير وليس في طاقة الانسان ان يدور في العال حتي يشاهده كله لقصر عمره وطول عمران العالم فراي من الحكمة ان يخلق --------------------------لها عالما صغيرا مختصرا من العالم الكبير --وصور في العالم الصغير جميع ما في العالم الكبير ومثله بين يديها واشهدها اياه فقال عز من قال واشهدهم علي انفسهم الست بربكم قالوا باجمعهم بلي فمن كان منهم	582.5	37	650	300	299	893126160471286440	248834797006152718	352	1030	43.10679626464844	56	GVDB20200108-ara1.mARkdown	Hindawi95926405Vols-ara1.mARkdown
1172	1274	208	226	1566	1680	279	299	false	true	3997935449618325707	1620306121390813756	GVDB20200108-ara1.mARkdown.ms53	Hindawi95926405Vols-ara1.mARkdown.ms0651	1680	1680	331	ولما كان الفلك مقسومة باني عشر برجا كذلك في بنية الجسد اثني عشر تقبة مماثلة لها وهي العينان والاذنان والمنخران والسبيلان والثديان والفم والسرة ولما---------- كانت الابراج---- منها ستة جنوبية وستة ش------الية كذلك قسمت---- الثقوب ست---------ة في الجانب الام-ن وستة في الجانب الايسر -ماءلة لها بالكمية والكيفية جميعا ولما كان في الفلك سيع- كواكب سيارة بها تجري احكام الفلك في الكاءنات كذلك وجد في جسد الانسان سبع قوی--------- فعالة بها يكون	ولما كان الفلك مقسوما اثني عشر برجا وجد- في بنية الجسد اثني عشر ثقبا مماثلا له- وهي العينان والاذنان والمنخران---------- والثديان والفم والسرة والسبيلين ولما كانت الابراج ستة منها---- جنوبية وستة منها شمالية كذلك وجدت ستة الثقب التي في الجسد في الجانب اليمين وستة في الجانب الشمال مماثلة لها بالكمية والكيفية جميعا ولما كان في الفلك سبعة كواكب سيارة بها تجري احكام الفلك و--الكاءنات كذلك وجد--------------- سبع قوي في الجسد فعالة بها يكون	541.5	53	651	300	299	4566239777682789909	8626671089987793424	267	439	75.39863586425781	45	GVDB20200108-ara1.mARkdown	Hindawi95926405Vols-ara1.mARkdown
